code,name,sector,price,per,pbr,yield,roe,d2e,pos52,mcap,score,flags
3950,ザ・パック,パルプ・紙,1482.0,14.714059,1.0564398,2.6317813765182185,7.383000000000001,0.507,0.9731903485254692,81071988736.0,35,
9532,大阪瓦斯,電気・ガス業,5444.0,13.924699,1.1325724,2.2042615723732553,7.901,42.406,0.4972756992371958,2066019909632.0,35,
6571,キュービーネットホールディングス,サービス業,1292.0,15.65112,1.1466546,3.0959752321981426,5.33,104.854,0.34418604651162793,17393604608.0,35,利益急減(-48%)
6309,巴工業,機械,2001.0,14.530535,1.3421341,3.598200899550225,9.6,,0.6474074074074074,58812321792.0,35,
4933,Ｉ－ｎｅ,化学,1415.0,11.263233,1.3555015,1.0600706713780919,11.4870004,31.697,0.6206896551724138,25174304768.0,35,利益急減(-54%)
7456,松田産業,卸売業,6820.0,10.536724,1.4059399,1.466275659824047,18.932,36.227,0.6114285714285714,176241803264.0,35,
6652,ＩＤＥＣ,電気機器,3760.0,28.68915,1.5073391,3.4574468085106385,11.878,32.889,0.8751451800232288,111446638592.0,35,
3048,ビックカメラ,小売業,1730.0,15.1608095,1.6254846,3.5260115606936417,11.875,43.249,0.5828877005347594,296267218944.0,35,
9880,イノテック,電気機器,3755.0,11.776329,1.7393761,1.9973368841544608,20.209,25.814,0.6629866356769321,45190098944.0,35,
4549,栄研化学,医薬品,2315.0,20.636477,1.7545362,2.5053995680345573,8.336,13.507,0.19878296146044624,76315295744.0,35,
6379,レイズネクスト,建設業,3005.0,15.515284,1.8373755,3.8935108153078204,12.654000000000002,6.148,0.9634443541835905,162291154944.0,35,
4290,プレステージ・インターナショナル,サービス業,725.0,15.468317,1.8544286,3.5862068965517238,13.586001,14.588,0.7612903225806451,90432708608.0,35,
2674,ハードオフコーポレーション,小売業,2738.0,15.118718,1.9163,3.10445580715851,18.21,33.027,0.7309721175584024,38093819904.0,35,
4826,ＣＩＪ,情報・通信業,535.0,16.744913,2.0276594,3.364485981308411,12.224,3.247,0.527027027027027,29869309952.0,35,
4674,クレスコ,情報・通信業,1998.0,15.3917265,2.3995245,3.203203203203203,16.781001,3.856,0.9658753709198813,80006668288.0,35,
8739,スパークス・グループ,証券、商品先物取引業,2515.0,15.576612,2.5352566,3.5785288270377733,20.828,24.675,0.9767649687220733,99389620224.0,35,
4765,ＳＢＩグローバルアセットマネジメント,サービス業,615.0,21.754509,2.6299472,3.699186991869919,17.344,0.206,0.5289256198347108,84910039040.0,35,
9381,エーアイテイー,倉庫・運輸関連業,2365.0,17.50037,2.755113,4.2283298097251585,15.918,,0.8571428571428571,55562346496.0,35,
2914,日本たばこ産業,食料品,6932.0,20.641397,2.800971,3.837276399307559,13.971,42.66,0.8885424785658612,12306778947584.0,35,
6539,ＭＳ－Ｊａｐａｎ,サービス業,1015.0,24.381454,2.9483273,5.517241379310345,12.321,,0.6033519553072626,25225803776.0,35,
4666,パーク２４,不動産業,1998.0,9.133297,3.083438,1.5015015015015014,41.342997999999994,148.919,0.4772370486656201,341120876544.0,35,
9769,学究社,サービス業,2622.0,15.426251,3.4875042,3.9282990083905416,26.185000000000002,14.835,0.7121771217712177,28496412672.0,35,
9744,メイテックグループホールディングス,サービス業,3307.0,16.959843,5.786871,5.926821892954339,34.870000000000005,,0.46309601567602876,255322603520.0,35,
3864,三菱製紙,パルプ・紙,1151.0,26.52685,0.48747063,1.3032145960034751,5.795,66.44,0.8746130030959752,50423214080.0,34,
6178,日本郵政,サービス業,2403.0,18.619247,0.6723642,2.0807324178110695,5.12,,0.8810457516339869,6743579951104.0,34,
2108,日本甜菜製糖,食料品,5430.0,13.210714,0.85201734,1.4732965009208103,6.959,0.005,0.976010966415353,63887360000.0,34,
5482,愛知製鋼,鉄鋼,3250.0,19.041481,0.8822577,2.123076923076923,5.441,27.275,0.7557603686635944,208802103296.0,34,
3708,特種東海製紙,パルプ・紙,2145.0,17.242765,0.88596493,2.502097902097902,5.4510000000000005,28.566,0.9331983859758392,74749239296.0,34,
4092,日本化学工業,化学,5800.0,17.502565,0.9011901,2.0689655172413794,5.045,25.787,0.856996935648621,50325155840.0,34,
4951,エステー,化学,1514.0,19.555672,0.9395487,2.906208718626156,4.101,1.531,0.4251207729468599,31597012992.0,34,
5232,住友大阪セメント,ガラス・土石製品,5860.0,16.765371,0.95262176,2.04778156996587,6.181,44.56,0.7732919254658385,185710804992.0,34,
6770,アルプスアルパイン,電気機器,2190.0,16.254732,0.96084535,2.8310502283105023,6.243,22.353,0.728354263053536,427367301120.0,34,
6923,スタンレー電気,電気機器,3666.0,15.241976,0.97772855,2.8368794326241136,7.180000000000001,35.997,0.8712121212121212,451322380288.0,34,
9948,アークス,小売業,3615.0,15.619599,0.9831077,2.268326417704011,6.576,13.686,0.5980861244019139,192608468992.0,34,
7510,たけびし,卸売業,2806.0,15.205376,0.985833,2.565930149679259,7.531000000000001,2.88,0.8636788048552755,44971732992.0,34,
9303,住友倉庫,倉庫・運輸関連業,4120.0,17.847086,0.9944365,2.5,7.165000000000001,22.787,0.8663967611336032,311915216896.0,34,
6167,冨士ダイス,機械,1082.0,37.28463,1.0474732,3.6968576709796674,4.4460002,0.134,0.33291614518147683,21184092160.0,34,
6306,日工,機械,1026.0,15.576134,1.0680714,3.898635477582846,7.9050004,21.229,0.9731543624161074,39536885760.0,34,
3191,ジョイフル本田,小売業,2278.0,15.239497,1.0859207,3.6874451273046533,7.253,7.782,0.4894837476099426,137302974464.0,34,利益急減(-38%)
8008,ヨンドシーホールディングス,小売業,2133.0,25.529621,1.1413246,3.8912330051570554,5.4510000000000005,41.338,0.8460076045627376,45805707264.0,34,
5741,ＵＡＣＪ,非鉄金属,2473.0,,1.1754842,2.2240194096239385,23.305,99.322,0.47547169811320755,447784124416.0,34,赤字(EPS≤0)
3382,セブン＆アイ・ホールディングス,小売業,2031.5,17.085787,1.273042,2.4612355402412014,8.0469996,104.359,0.36386138613861385,4696410423296.0,34,
2301,学情,サービス業,1679.0,12.983296,1.5308868,4.228707564026206,,,0.3914027149321267,22422482944.0,34,
3539,ＪＭホールディングス,小売業,1461.0,12.137575,1.5539743,1.642710472279261,13.194999,17.991,0.4272300469483568,74449330176.0,34,
2503,キリンホールディングス,食料品,3000.0,12.330456,1.7552985,2.5,15.143,50.194,0.8466666666666667,2390673588224.0,34,
8002,丸紅,卸売業,4938.0,14.966811,1.80043,2.3288780882948563,14.209,57.643,0.5513234344738541,8033706442752.0,34,
7508,Ｇ‐７ホールディングス,小売業,1433.0,13.145583,1.8266178,2.7913468248429867,13.654,57.116,0.6640625,62695895040.0,34,
4617,中国塗料,化学,3590.0,16.185753,1.8405848,2.701949860724234,15.097,15.466,0.3623112961998959,178262589440.0,34,
3788,ＧＭＯグローバルサイン・ホールディングス,情報・通信業,2070.0,23.67067,2.296792,2.7492753623188406,11.0740006,27.853,0.3483309143686502,23742365696.0,34,利益急減(-32%)
4975,ＪＣＵ,化学,5460.0,14.93272,2.3967426,1.73992673992674,17.608999,0.057,0.3247753530166881,134423691264.0,34,
2327,日鉄ソリューションズ,情報・通信業,3769.0,22.362644,2.4957092,2.255240116741841,11.681999999999999,8.353,0.43924050632911393,689656954880.0,34,
3626,ＴＩＳＩ,情報・通信業,3716.0,18.140102,2.66753,2.1528525296017222,15.434000000000001,20.591,0.32854578096947934,784035610624.0,34,
7826,フルヤ金属,その他製品,8640.0,13.303769,2.710045,3.9930555555555554,5.692,18.171,0.7292975442604226,212537982976.0,34,
3968,セグエグループ,情報・通信業,625.0,16.801075,2.9829662,2.56,36.394999999999996,16.051,0.43558282208588955,22716860416.0,34,
7818,トランザクション,その他製品,1195.0,16.087776,3.094364,2.3849372384937237,21.136,3.888,0.4489795918367347,67569111040.0,34,
3983,オロ,情報・通信業,2132.0,17.737104,3.2782953,2.345215759849906,21.579,7.507,0.3087188612099644,32445206528.0,34,
3110,日東紡績,ガラス・土石製品,3210.0,13.989976,3.2966523,0.7912772585669782,28.395,26.786,0.39059674502712477,584302198784.0,34,
3863,日本製紙,パルプ・紙,1372.0,13.494639,0.30703595,1.0932944606413995,2.2110000000000003,153.81,0.5804195804195804,158203265024.0,33,低PBR×低ROE(万年割安)
7952,河合楽器製作所,その他製品,3470.0,26.119682,0.64893574,2.7377521613832854,2.7,25.064,0.8338485316846986,29850394624.0,33,
9319,中央倉庫,倉庫・運輸関連業,1849.0,16.323828,0.649153,2.055164954029205,4.111,15.568,0.5766423357664233,32869865472.0,33,
6798,ＳＭＫ,電気機器,3405.0,391.8297,0.68848157,2.936857562408223,2.9059999,44.546,0.7834645669291339,21548470272.0,33,
3405,クラレ,化学,1846.5,68.338264,0.7361792,2.924451665312754,0.8160000000000001,41.476,0.59581589958159,556344672256.0,33,
9831,ヤマダホールディングス,小売業,707.7,32.4782,0.74124503,2.4021478027412746,2.606,44.656,0.8165952235150031,470603104256.0,33,
2664,カワチ薬品,小売業,3850.0,26.874216,0.7488122,2.0779220779220777,2.851,14.38,1.0,85986852864.0,33,
5563,新日本電工,鉄鋼,438.0,,0.7993985,2.6255707762557075,-2.448,21.642,0.5328185328185329,54696415232.0,33,赤字(EPS≤0)
7888,三光合成,化学,932.0,37.429718,0.81802607,3.004291845493562,2.385,77.593,0.543859649122807,28410867712.0,33,
546A,ＭＩＲＡＩＮＩホールディングス,卸売業,2450.0,,0.9619874,3.9183673469387754,,88.275,0.7023686920700309,86930309120.0,33,PER算出不可
9005,東急,陸運業,1642.0,10.782061,1.0251832,1.8270401948842874,,148.254,0.14385150812064965,925123805184.0,33,
2587,サントリービバレッジ＆フード,食料品,4497.0,15.501551,1.0260727,2.66844563042028,7.988,5.037,0.30347490347490347,1389571473408.0,33,
4043,トクヤマ,化学,4195.0,13.588365,1.0516597,2.860548271752086,,54.545,0.3574346405228758,301809958912.0,33,
4025,多木化学,化学,6070.0,13.556975,1.077137,0.9884678747940692,8.677,2.506,0.9139414802065404,50668531712.0,33,
